"adm1","adm2"
"Tshopo","Bafwasende"
"Kwilu","Sia"
"Tshuapa","Bosanga"
"Kasai Oriental","Tshishimbi"
"Tshuapa","Yalifafo"
"Sud Kivu","Nundu"
"Kasai Oriental","Bibanga"
"Kongo Central","Kisantu"
"Nord Ubangi","Wasolo"
"Haut Katanga","Kikula"
"Sud Kivu","Mwenga"
"Tshuapa","Wema"
"Nord Kivu","Binza"
"Haut Katanga","Kisanga"
"Ituri","Adi"
"Kinshasa","Lingwala"
"Lualaba","Kapanga"
"Kasai","Mushenge"
"Equateur","Iboko"
"Tanganyika","Kabalo"
"Sud Ubangi","Zongo"
"Nord Kivu","Pinga"
"Ituri","Logo"
"Haut Katanga","Mumbunda"
"Kasai Central","Mutoto"
"Bas Uele","Ganga"
"Tshopo","Yahuma"
"Kwilu","Kingandu"
"Haut Uele","Boma Mangbetu"
"Kwango","Kenge"
"Sankuru","Bena Dibele"
"Haut Lomami","Kinkondja"
"Kinshasa","Biyela"
"Haut Katanga","Mufunga Sampwe"
"Haut Lomami","Lwamba"
"Sud Kivu","Nyantende"
"Nord Ubangi","Businga"
"Kasai Central","Kalomba"
"Tanganyika","Kongolo"
"Nord Kivu","Bambo"
"Lomami","Kamiji"
"Ituri","Tchomia"
"Tshuapa","Bokungu"
"Kwilu","Idiofa"
"Kongo Central","Sona Bata"
"Ituri","Mambasa"
"Kinshasa","Ndjili"
"Ituri","Boga"
"Bas Uele","Ango"
"Maniema","Lusangi"
"Haut Lomami","Kayamba"
"Sud Kivu","Fizi"
"Tshopo","Wanierukula"
"Kasai","Tshikapa"
"Nord Kivu","Karisimbi"
"Sud Kivu","Kamituga"
"Sankuru","Ototo"
"Mongala","Boso Mondanda"
"Equateur","Basankusu"
"Haut Katanga","Mitwaba"
"Lualaba","Mutshatsha"
"Tshuapa","Ikela"
"Sankuru","Minga"
"Lomami","Kabinda"
"Tshopo","Yaleko"
"Sud Kivu","Nyangezi"
"Haut Katanga","Kowe"
"Kasai Central","Lukonga"
"Ituri","Kilo"
"Ituri","Mahagi"
"Kinshasa","Binza Meteo"
"Tshuapa","Mondombe"
"Ituri","Kambala"
"Kwilu","Pay Kongila"
"Tanganyika","Nyemba"
"Kinshasa","Makala"
"Nord Kivu","Mabalako"
"Maniema","Samba"
"Kasai Oriental","Tshilenge"
"Tshopo","Basoko"
"Kinshasa","Bumbu"
"Haut Lomami","Kamina"
"Nord Kivu","Goma"
"Ituri","Nizi"
"Kinshasa","Lemba"
"Sud Kivu","Bunyakiri"
"Tshopo","Ubundu"
"Sud Kivu","Mulungu"
"Sankuru","Dikungu"
"Kinshasa","Maluku I"
"Nord Kivu","Mutwanga"
"Sud Kivu","Katana"
"Kwilu","Mokala"
"Kongo Central","Kizu"
"Lomami","Ngandajika"
"Kongo Central","Nselo"
"Kwilu","Mukedi"
"Equateur","Ntondo"
"Nord Kivu","Biena"
"Kasai","Bulape"
"Kwango","Boko"
"Kinshasa","Kasa Vubu"
"Ituri","Nia Nia"
"Kasai Central","Tshikaji"
"Kinshasa","Mont Ngafula I"
"Ituri","Bambu"
"Kasai Oriental","Lukelenge"
"Sud Ubangi","Bulu"
"Lualaba","Lualaba"
"Haut Katanga","Vangu"
"Sud Kivu","Lulingu"
"Haut Katanga","Kamalondo"
"Kinshasa","Matete"
"Kinshasa","Barumbu"
"Lualaba","Kalamba"
"Sankuru","Vanga Kete"
"Tshuapa","Boende"
"Tanganyika","Nyunzu"
"Kasai Oriental","Mpokolo"
"Ituri","Aru"
"Lomami","Ludimbi Lukula"
"Mai Ndombe","Banjow Moke"
"Nord Kivu","Kamango"
"Kongo Central","Boko Kivulu"
"Tshuapa","Monkoto"
"Lomami","Kalenda"
"Nord Kivu","Musienene"
"Mai Ndombe","Yumbi"
"Ituri","Rwampara"
"Kongo Central","Boma Bungu"
"Haut Katanga","Kasenga"
"Kinshasa","Kisenso"
"Kinshasa","Ngaba"
"Kasai","Mikope"
"Kwilu","Masi Manimba"
"Kwango","Feshi"
"Kasai Oriental","Miabi"
"Maniema","Alunguli"
"Mongala","Boso Manzi"
"Tanganyika","Mbulula"
"Kasai Oriental","Kasansa"
"Nord Kivu","Nyirangongo"
"Nord Kivu","Katwa"
"Tshopo","Mangobo"
"Kasai Central","Ndesha"
"Bas Uele","Likati"
"Mongala","Yamongili"
"Kinshasa","Kikimi"
"Tshopo","Banalia"
"Kwilu","Lusanga"
"Lomami","Makota"
"Sud Kivu","Walungu"
"Sankuru","Lusambo"
"Ituri","Gethy"
"Haut Lomami","Mukanga"
"Sud Kivu","Lemera"
"Ituri","Lita"
"Nord Kivu","Walikale"
"Haut Katanga","Manika"
"Nord Kivu","Kalunguta"
"Mongala","Lisala"
"Ituri","Lolwa"
"Nord Kivu","Kirotshe"
"Kwango","Wamba Lwadi"
"Kasai Oriental","Bipemba"
"Kongo Central","Kimpese"
"Kinshasa","Kinshasa"
"Maniema","Kampene"
"Kasai","Kakenge"
"Kwilu","Kikwit Sud"
"Lualaba","Kanzenze"
"Kongo Central","Masa"
"Haut Katanga","Rwashi"
"Lomami","Mwene Ditu"
"Lualaba","Sandoa"
"Ituri","Angumu"
"Haut Uele","Makoro"
"Mongala","Yamaluka"
"Ituri","Mandima"
"Mongala","Pimu"
"Ituri","Biringi"
"Tshopo","Basali"
"Ituri","Mangala"
"Maniema","Ferekeni"
"Kasai","Kanzala"
"Sankuru","Pania Mutombo"
"Kinshasa","Kalamu Ii"
"Kasai","Dekese"
"Kasai Oriental","Dibindi"
"Kongo Central","Moanda"
"Haut Uele","Doruma"
"Kongo Central","Kuimba"
"Tshopo","Makiso Kisangani"
"Maniema","Kailo"
"Kasai Central","Lubondaie"
"Nord Kivu","Kayna"
"Haut Katanga","Kampemba"
"Haut Katanga","Kipushi"
"Mai Ndombe","Oshwe"
"Nord Kivu","Oicha"
"Sud Kivu","Kabare"
"Kongo Central","Vaku"
"Kongo Central","Kimvula"
"Kinshasa","Kingasani"
"Kongo Central","Kibunzi"
"Sud Kivu","Itombwe"
"Haut Uele","Pawa"
"Kasai Oriental","Bonzola"
